시설명,업종,세부유형,자치구,주소,전화번호,위도,경도
KuksooL Multi-Gym,체력단련장업,체력단련장,관악구,서울특별시 관악구 호암로24길 35 (신림동),,37.46967835604172,126.93511278988204
MBA(멘토 빌리어드 아카데미),당구장업,당구장,관악구,서울특별시 관악구 남부순환로 1481 (신림동),,37.48226179097256,126.91510787425632
MBC당구장,당구장업,당구장,중구,서울특별시 중구 다산로36길 53(신당동),,37.5615158438315,127.017843340173
MBC당구장,당구장업,당구장,중구,서울 중구 신당6동 48-1,,37.5615179143,127.017855678
Medi & Fit (메디 앤 핏),체력단련장업,체력단련장,중구,서울특별시 중구 다산로 168 (신당동),070-8236-4496,37.558442272308,127.013023379599
M당구장,당구장업,당구장,관악구,"서울특별시 관악구 신림로 126  (신림동,지층)",,37.4650170429,126.939484564
OUTFIT FITNESS,체력단련장업,체력단련장,중구,"중구 다산로 236-1, 2층(신당동)",,37.5641274347,127.016230942
P.G.A골프스쿨,골프연습장업,실내,관악구,"서울특별시 관악구 신림로 136 (신림동,지층)",02-884-4772,37.4646532123,126.939833009
PBC 캐롬클럽 봉천점,당구장업,당구장,관악구,서울특별시 관악구 양녕로 29 (봉천동),,37.4846673504229,126.946395058313
PGA스포렉스,골프연습장업,실내,중구,서울특별시 중구 충무로 15(충무로3가),,37.5680134556,126.993308067
PS권투체육관,체육도장업,권투,중구,서울 중구 필동3가 18-3 4층,02-2266-7989,37.5609462207,126.998474311
PT DAY,체력단련장업,체력단련장,관악구,"서울특별시 관악구 대학10길 22, 지하1층 (신림동)",,37.4677401043,126.936443827
R.F Shop(알에프샵),체력단련장업,체력단련장,관악구,서울특별시 관악구 신림로67길 3-8 (신림동),,37.4858966283,126.9290247345
Re:BODY 헬스 365,체력단련장업,체력단련장,관악구,서울특별시 관악구 관악로17길 8 (봉천동),,37.4809019109784,126.951311484672
S 당구클럽,당구장업,당구장,관악구,서울특별시 관악구 은천로 114,02-871-2060,37.4866273008,126.947979005
SBS 당구장,당구장업,당구장,관악구,서울특별시 관악구 난곡로 367 (신림동),02-839-7666,37.4867009567317,126.913354117853
SD 복싱짐,체육도장업,권투,중구,서울특별시 중구 퇴계로88길 63 (신당동),02-2235-1282,37.563197132,127.019377286
SM 스포츠 아카데미,체육교습업,축구,중구,"서울특별시 중구 다산로 32(신당동, 남산타운)",,37.5471667734011,127.005677166122
SY GYM,체력단련장업,체력단련장,관악구,서울특별시 관악구 관악로 248 (봉천동),02-878-7373,37.4862093117,126.9571514372
S바디케어프라이빗짐,체력단련장업,체력단련장,중구,서울특별시 중구 다산로36길 53(신당동),,37.5615158438315,127.017843340173
T.S 한국체대 한일태권도장,체육도장업,태권도,관악구,"서울특별시 관악구 신림로 264, 4층 (신림동)",,37.4786870742,126.932644871
TLM행운 태권스쿨,체육도장업,태권도,관악구,"서울특별시 관악구 행운1길 8 (봉천동,2층)",02-874-1835,37.4798667643,126.958706232
TS골프아카데미,가상체험 체육시설업,골프,관악구,"서울특별시 관악구 신원로 35, 삼모 더 프라임 타워 7층 2호 (신림동)",02-879-1004,37.4823122359,126.9290233764
The Gym : 魂 (더 짐 : 혼),체력단련장업,체력단련장,관악구,서울특별시 관악구 신림로 300 (신림동),,37.4811400682,126.9303090862
Top-tier GYM,체력단련장업,체력단련장,관악구,서울특별시 관악구 난곡로 84 (신림동),,37.4629028048049,126.919390910287
UNO GYM,체력단련장업,체력단련장,중구,"서울특별시 중구 다산로 32(신당동, 남산타운)",,37.5471667734011,127.005677166122
VIP당구장,당구장업,당구장,중구,서울 중구 남산동1가 5-2번지 1층,,37.5604155077,126.985128033
VIP당구장,당구장업,당구장,중구,서울 중구 필동1가 36-2 지하1층,,37.5608306681,126.992552657
VTA 청구수련관,체육도장업,태권도,중구,서울 중구 신당동 321-27,02-2238-8347,37.5589882606,127.015401359
With Gym(위드짐),체력단련장업,체력단련장,관악구,서울특별시 관악구 대학5길 8 (신림동),,37.46916105800695,126.9382558360097
W당구장,당구장업,당구장,관악구,서울특별시 관악구 신림동길 8 (신림동),02-887-5017,37.48750687867751,126.9277839555146
best billiard club,당구장업,당구장,중구,서울특별시 중구 세종대로21길 55 (태평로1가),02-737-2833,37.5690131024,126.9759485643
fitness SUIT,체력단련장업,체력단련장,관악구,"서울특별시 관악구 호암로26길 47, 신림빌딩 지하1층,2~3층 (신림동)",02-883-5840,37.47048456,126.9362341788
in클라이밍센터,인공암벽장업,인공암벽장,관악구,서울특별시 관악구 봉천로 565-1 (봉천동),,37.4776721954954,126.960610736795
one shop,체력단련장업,체력단련장,중구,서울특별시 중구 다산로18길 23(신당동),,37.5566982705714,127.013304429748
sbs당구장,당구장업,당구장,중구,서울 중구 신당6동 291-32 지하1층,,37.5621019412,127.016615327
tmzmfls1872,골프연습장업,스크린,중구,서울특별시 중구 명동9길 21 (명동1가),02-3789-1872,37.5647654439,126.9845431213
㈜ 파크짐,체력단련장업,체력단련장,중구,"서울 중구 다산로 185, 지하1층(신당동, 신흥)",,37.5601742116,127.013445844
㈜ 호텔신라휘트니스클럽,종합체육시설업,종합체육시설,중구,서울특별시 중구 동호로 249,02-2230-3521,37.5575907792,127.005713155
㈜에이치비스포츠아이엔씨,체력단련장업,체력단련장,중구,서울특별시 중구 을지로 170(을지로4가),02-3706-7396,37.5661391831606,126.99732748195
㈜호텔신라휘트니스클럽,수영장업,실외,중구,서울특별시 중구 동호로 249,,37.5575907792,127.005713155
ㅋ ㅠ당구장,당구장업,당구장,중구,서울특별시 중구 난계로21길 63(황학동),,37.5638077703601,126.997555182293
가람검도관,체육도장업,검도,중구,서울 중구 신당동 366-2외5필지,02-2235-3711,37.5527142509,127.010502104
가자 당구크럽,당구장업,당구장,관악구,서울특별시 관악구 난곡로 234 (신림동),,37.475188457185176,126.91706489528325
강호태권도장,체육도장업,태권도,관악구,"서울특별시 관악구 미성8길 1, 3층 (신림동)",02-857-1171,37.4742596519,126.913484472
갤러리당구클럽,당구장업,당구장,관악구,"서울특별시 관악구 대학5길 17  (신림동,2층)",,37.4693811399,126.938707829
게이트볼장,간이운동장,간이운동장,중구,,,37.5556223312,127.013811709
겟투잇 피트니스 필라테스,체력단련장업,체력단련장,중구,서울특별시 중구 서소문로 89-31 (순화동),,37.5638725916722,126.971254012533
경서스포츠센터(조원초 수영장),수영장업,실내,관악구,서울특별시 관악구 조원로 67 (신림동),02-857-9400,37.4841281273,126.9095067512
경희대 덕승체육관,체육도장업,태권도,관악구,"서울특별시 관악구 인헌길 68 (봉천동,현대종합B상가 301(3층))",,37.4723655801,126.966352402
경희대 석사 삼성 태권도,체육도장업,태권도,관악구,"서울특별시 관악구 미성3길 4 (신림동,2층)",02-868-9282,37.4741859514,126.916238472
경희대 석사 현대 태권도장,체육도장업,태권도,관악구,서울특별시 관악구 은천로 95 (봉천동),02-877-9001,37.4872820001,126.945246769
경희대 태권도,체육도장업,태권도,관악구,,02-887-8777,37.4840985767,126.960684813
경희대 현대 태권도,체육도장업,태권도,관악구,,02-862-2999,37.4802230746,126.911781701
경희대삼성태권도장,체육도장업,태권도,관악구,"서울특별시 관악구 대학7길 17 (신림동,지층)",,37.4685197717,126.93870401
경희대효태권도장,체육도장업,태권도,관악구,서울특별시 관악구 관천로15길 131 (신림동),02-854-3211,37.4854695662,126.915366562
고려,당구장업,당구장,중구,서울 중구 북창동 12-1,02-775-3938,37.5631498877,126.978363554
고려 당구장,당구장업,당구장,중구,서울특별시 중구 남대문로1길 41(북창동),,37.5628757661001,126.977201340376
고려당구장,당구장업,당구장,중구,서울특별시 중구 난계로21길 63(황학동),775-3938,37.5638077703601,126.997555182293
고핏 피트니스,체력단련장업,체력단련장,관악구,"서울특별시 관악구 남부순환로191길 7(신림동, 에드원)",,37.4855884851628,126.934001482301
골드당구장,당구장업,당구장,중구,서울 중구 충무로3가 33-3번지 3층,,37.5629282323,126.993285885
골든크라운 크로스핏 서대문역,체력단련장업,체력단련장,중구,서울특별시 중구 정동길 8 (정동),02-318-0687,37.56759520208418,126.96932504002834
골클럽,체육교습업,축구,관악구,서울특별시 관악구 남부순환로 1464(신림동),02-6368-7217,37.4812406839959,126.913378400019
골프존파크 BH 봉천점,가상체험 체육시설업,골프,관악구,서울특별시 관악구 은천로 93 (봉천동),02-3285-7782,37.4888675527,126.953110957
골프존파크 남현네스코사당점,가상체험 체육시설업,골프,관악구,서울특별시 관악구 남부순환로 2064 (남현동),02-588-0709,37.4764021630158,126.978098942823
골프존파크 신당약수점,가상체험 체육시설업,골프,중구,서울특별시 중구 동호로 191 (신당동),,37.5549455286319,127.009965073767
곰짐(Gom Gym),체력단련장업,체력단련장,관악구,서울특별시 관악구 호암로22길 60 (신림동),,37.4685436545,126.9361628023
공단,무도장업,무도장,관악구,"서울특별시 관악구 시흥대로 578(신림동,지2층)",02-858-0650,37.4843105768,126.903247201
공단무도학원,무도학원업,무도학원,관악구,"서울특별시 관악구 시흥대로 578 (신림동,광안빌딩 지2층)",02-858-0650,37.4843105768,126.903247201
공때리네당구장,당구장업,당구장,중구,서울 중구 신당동 333-61,,37.557467594,127.013640021
관악 유도 체육관,체육도장업,유도,관악구,서울특별시 관악구 신림로 138,,37.4717575654,126.93452767
관악구민운동장,축구장,축구장,관악구,서울특별시 관악구 낙성대로 40 (봉천동),,37.4751234069,126.9574562246
관악구민종합체육센터,체육관,생활체육관,관악구,서울특별시 관악구 낙성대로3길 37 (봉천동),02-870-7620,37.4730664948,126.9603152697
관악구민종합체육센터수영장,수영장,수영장,관악구,서울특별시 관악구 낙성대로3길 37 (봉천동),02-875-1188,37.4730664948,126.9603152697
관악구민체육센터골프연습장,골프연습장,골프연습장,관악구,서울특별시 관악구 낙성대로3길 37 (봉천동),02-875-1188,37.4730664948,126.9603152697
관악본관,체육도장업,태권도,관악구,"서울특별시 관악구 문성로 222 (신림동,3층)",,37.4792359917,126.928393386
관악스크린골프,골프연습장업,스크린,관악구,서울특별시 관악구 관악로15길 23-16 (봉천동),02-878-0755,37.47965827886671,126.95073342976704
관악정,국궁장,국궁장,관악구,서울특별시 관악구 약수암길 43-3 (신림동),02-887-7971,37.4586023837,126.9337795975
관악제2구민운동장,축구장,축구장,관악구,서울특별시 관악구 약수암길 43-1 (신림동),,37.4589949017,126.93320507
관악청소년센터수영장,수영장,수영장,관악구,서울특별시 관악구 신림로23길 17 (신림동),02-870-0636,37.4702439018707,126.935243319909
관악축구센터,체육교습업,축구,관악구,서울특별시 관악구 관악로 116(봉천동),,37.4756046026941,126.953083520042
교통문화교육원 헬스크럽,체력단련장업,체력단련장,관악구,서울특별시 관악구 남현1길 38-10 (남현동),02-585-3395,37.4753765702546,126.979245142307
구디 캐롬 클럽,당구장업,당구장,관악구,서울특별시 관악구 조원로 24 (신림동),,37.4832397601818,126.905063377424
구민테니스장,테니스장,테니스장,관악구,서울특별시 관악구 낙성대로 40 (봉천동),02-2081-2660,37.4751234069,126.9574562246
구슬모아,당구장업,당구장,중구,서울특별시 중구 서소문로 134-7 (태평로2가),02-756-8404,37.5632576434766,126.976014137939
국사검도관,체육도장업,검도,관악구,서울특별시 관악구 봉천로 535 (봉천동),02-874-4001,37.4788968407,126.957472175
국사봉체육관,체육관,구기체육관,관악구,서울특별시 관악구 국회단지길 144 (봉천동),02-2081-2690,37.4918789126,126.9414304449
국제체육관,체육도장업,권투,관악구,서울특별시 관악구 남부순환로 1587 (신림동),02-6498-1212,37.4843456130312,126.92692317416412
국제체육관 신림점,체육도장업,권투,관악구,서울특별시 관악구 남부순환로 1587 (신림동),02-6498-1212,37.4842771476,126.9269413314
국제프레야스포츠,체력단련장업,체력단련장,중구,서울특별시 중구 남대문로 36 (회현동1가),02-319-0374,37.5609589129,126.9797676403
굿모닝당구장,당구장업,당구장,중구,서울 중구 태평로2가 68-3(3층),02-776-4904,37.5632325692,126.977245261
굿모닝당구장,당구장업,당구장,중구,서울특별시 중구 장충단로 247(을지로6가),,37.5668021171335,127.007358177138
굿모닝스크린골프,골프연습장업,스크린,중구,서울특별시 중구 장충단로 247 (을지로6가),02-2118-8686,37.5668024776,127.0073573848
굿타임,당구장업,당구장,중구,서울특별시 중구 마장로1가길 11-6(신당동),,37.5688836456334,127.013054627703
귀빈,당구장업,당구장,중구,서울특별시 중구 삼일대로12길 22-1 (을지로2가),,37.56663280569504,126.98898432203174
그랜드센트럴 피트니스,체력단련장업,체력단련장,중구,서울특별시 중구 세종대로 14(남대문로5가),02-6411-6154,37.5578385325826,126.9744151
그린,당구장업,당구장,중구,서울 중구 수하동 39-2,02-752-0771,37.5674828275,126.984388619
그린,당구장업,당구장,중구,서울 중구 저동2가 72-9,,37.5646686793,126.989478108
그린골프교실,골프연습장업,실내,중구,서울특별시 중구 다산로 111(신당동),,37.5647677698,127.023253231
그린당구클럽,당구장업,당구장,중구,서울특별시 중구 난계로21길 63(황학동),,37.5638077703601,126.997555182293
근육터짐 지방빠짐,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로 2062 (남현동),,37.4763939932,126.9777735757
글로벌 태권도장,체육도장업,태권도,관악구,"서울특별시 관악구 조원로 128, 3층 303호 (신림동)",02-853-4471,37.485106466,126.916642369
금강 태권도장,체육도장업,태권도,관악구,"서울특별시 관악구 남부순환로161가길 23, 3층 (신림동)",,37.484887217,126.917492875
금문 당구클럽,당구장업,당구장,관악구,서울특별시 관악구 남부순환로 1665 (봉천동),,37.4851215151689,126.935676078693
길 당구클럽,당구장업,당구장,관악구,서울특별시 관악구 난곡로 181 (신림동),,37.4713097420544,126.919603680139
김코치PT(낙성대점),체력단련장업,체력단련장,관악구,서울특별시 관악구 봉천로 575 (봉천동),,37.4774028105387,126.961481858172
까치산체육센터,골프연습장,골프연습장,관악구,서울특별시 관악구 행운10길 23 (봉천동),02-870-7690,37.4819706150352,126.962472088607
꿈나무 태권도,체육도장업,태권도,관악구,서울특별시 관악구 관악로12길 47 (봉천동),,37.4778435733,126.9550714575
나이스 당구장,당구장업,당구장,관악구,서울특별시 관악구 남부순환로 1751 (봉천동),02-888-3217,37.4823262518,126.944811701
낙성대골프연습장,골프연습장업,실외,관악구,서울특별시 관악구 낙성대로 42 (봉천동),,37.4740892514,126.958026586
난곡,당구장업,당구장,관악구,서울특별시 관악구 법원단지길 28  (신림동,,37.4741664237,126.919250163
남문당구장,당구장업,당구장,중구,서울 중구 남대문로5가 21-1,02-755-7979,37.5589613744,126.974924133
남문헬스클럽,체력단련장업,체력단련장,중구,중구 세종대로2나길 23(남대문로5가),02-754-2500,37.5586477733,126.974670719
남부 태권도장,체육도장업,태권도,관악구,"서울특별시 관악구 난곡로 170-6 (신림동,3층)",02-856-2221,37.47013065,126.92035782
남산 골프존,가상체험 체육시설업,골프,중구,"서울특별시 중구 다산로 56(신당동, 남산정은스카이아파트)",,37.5484962686196,127.007609635753
남산골프,가상체험 체육시설업,골프,중구,서울특별시 중구 장충단로 72(장충동2가),,37.5516383586201,127.002523184791
남산골프연습장,골프연습장업,실내,중구,서울특별시 중구 다산로 91(신당동),,37.5638275296,127.021125041
남산캐롬빌리아드,당구장업,당구장,중구,서울특별시 중구 다산로8길 20 (신당동),,37.552714250920914,127.0105021041553
남현 호림태권도,체육도장업,태권도,관악구,서울특별시 관악구 남현길 18 (남현동),02-582-6699,37.4757956098,126.977181354
넘버원수영이야기,수영장업,실내,관악구,서울특별시 관악구 호암로 405 (신림동),02-882-7552,37.46101261984565,126.92622248956954
노블당구장,당구장업,당구장,중구,서울 중구 을지로1가 16,02-752-0230,37.5664873811,126.979503544
노아당구장,당구장업,당구장,중구,서울 중구 신당동 52-299,,37.5637993974,127.016765109
놀자,당구장업,당구장,관악구,서울특별시 관악구 남부순환로170길 3 (신림동),,37.482891750784674,126.92463617872583
뉴 스크린 골프,골프연습장업,스크린,관악구,"서울특별시 관악구 난곡로 98 (신림동,파로스프라자 B동 204,205호)",02-865-0755,37.464075248,126.91945996
뉴 코리아,당구장업,당구장,중구,서울 중구 충무로2가 11-1번지 선샤인빌딩 지하1층,,37.5620158428,126.986499497
뉴 코리아당구장,당구장업,당구장,중구,서울 중구 남산동2가 1-2,02-777-3991,37.5605994227,126.9860425
뉴-캐슬 스크린골프,골프연습장업,스크린,중구,서울특별시 중구 청계천로 370,,37.5705241412,127.018690951
뉴스크린연습장,가상체험 체육시설업,골프,관악구,"서울특별시 관악구 난곡로 98 (신림동, 파로스프라자B동)",02-865-0755,37.4640754271385,126.919458376949
뉴월드 당구장,당구장업,당구장,관악구,서울특별시 관악구 난곡로66길 7 (신림동),,37.48269765086713,126.91479080331293
뉴코리아,당구장업,당구장,중구,서울 중구 신당동 213-8 유니온30 지하2층,,37.5689536161,127.012564511
뉴코리아골프연습장,골프연습장업,실내,중구,서울특별시 중구 다산로 178(신당동),,37.5592876145,127.013586027
늘푸른공원,간이운동장,간이운동장,중구,,02-3423-6244,37.558402,127.005025
다래,당구장업,당구장,중구,서울 중구 다동183,02-775-3738,37.5672298663,126.979879135
다빈치당구클럽,당구장업,당구장,중구,서울시 중구 신당동 52-111 2층,,37.5630133205,127.01942704
다움태권도장,체육도장업,태권도,관악구,서울특별시 관악구 관천로15길 131(신림동),,37.4854696555126,126.915365431007
다인스크린골프,골프연습장업,스크린,중구,서울특별시 중구 마른내로 110 (오장동),02-2269-4055,37.5643087495,127.0001720439
다조아GYM,체력단련장업,체력단련장,관악구,서울특별시 관악구 남부순환로220길 49 (봉천동),02-883-9682,37.4790338483906,126.951749778968
담장 클라이밍,인공암벽장업,인공암벽장,중구,서울특별시 중구 마른내로 63-3(인현동2가),,37.5644996570774,126.995050103853
당구 재미,당구장업,당구장,관악구,서울특별시 관악구 청룡1길 42 (봉천동),070-4241-4385,37.4808719314,126.948602568
대궐 당구장,당구장업,당구장,중구,서울특별시 중구 을지로 175-5(을지로4가),,37.5670225201981,126.997354842582
대산복싱클럽,체육도장업,권투,관악구,서울특별시 관악구 난곡로34길 1 (신림동),02-858-2348,37.4726528793,126.919473366
대우태권도,체육도장업,태권도,관악구,"서울특별시 관악구 청림6길 3, 관악푸르지오 상가동 110-3,206호 (봉천동)",02-888-4777,37.4875621618,126.9599377481
대원,당구장업,당구장,중구,서울 중구 을지로6가 18-134,,37.5671808503,127.008054679
대학촌,당구장업,당구장,관악구,서울특별시 관악구 신림로 323 (신림동),,37.4832299565,126.929547353
대한권투 체육관,체육도장업,권투,관악구,"서울특별시 관악구 신림로 391 (신림동,3층)",02-3285-4979,37.4890674453,126.927818637
대한권투체육관,체육도장업,권투,관악구,"서울특별시 관악구 신림로 108, 4층 (신림동)",,37.4711321238,126.937598547
대한당구장,당구장업,당구장,중구,서울특별시 중구 동호로33길 7 (오장동),,37.5653899313,127.0018019593
대한당구장,당구장업,당구장,중구,서울특별시 중구 퇴계로 209 (충무로4가),,37.56165611321331,126.99507428672712
대한체육관,체육도장업,태권도,관악구,,02-830-8687,37.4827023505,126.911380802
