서비스명,세부종목,접수상태,유무료,장소명,자치구,예약URL,위도,경도
7/16~7/31장충테니스장 9번코트(주말 및 공휴일),테니스장,예약마감,유료,장충테니스장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260704100616509259,37.55400560480704,127.00167192962464
난우공원 테니스장 B코트 (평일주간),테니스장,접수종료,유료,난우공원 테니스장,관악구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250520182539872577,37.47737,126.92267
난우공원 테니스장 B코트 (평일야간),테니스장,접수종료,유료,난우공원 테니스장,관악구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250520183134993782,37.47737,126.92267
"난우공원 테니스장 B코트 (주말,공휴일)",테니스장,접수종료,유료,난우공원 테니스장,관악구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S250520183447979079,37.47737,126.92267
[서울 중구] 충무스포츠센터 대체육관(농구),농구장,접수중,유료,충무스포츠센터 농구장,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=08&place=4,,
선우공원테니스장 B코트 평일주간,테니스장,접수중,유료,선우공원,관악구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260622095724285258,37.46765,126.91341
선우공원테니스장 B코트 평일야간,테니스장,예약마감,유료,선우공원,관악구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260622181344976980,37.46765,126.91341
"선우공원테니스장 B코트 주말,공휴일",테니스장,예약마감,유료,선우공원,관악구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260622182602317465,37.46765,126.91341
을지누리 스크린 파크골프장,골프장,접수중,유료(요금안내문의),을지누리 스크린파크골프장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260223184514211551,37.56662,126.99104
함께누리 스크린 파크골프장,골프장,접수중,유료(요금안내문의),함께누리 스크린 파크골프장,중구,https://yeyak.seoul.go.kr/web/reservation/selectReservView.do?rsv_svc_id=S260225144236585362,37.5651,127.02279
훈련원공원종합체육관 종합체육관(배구장),배구장,접수중,유료,훈련원공원종합체육관 종합체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=T&base_date=20260601&center=JUNGGU05&type=&part=03&place=2,,
무학봉체육관(배구장),배구장,접수중,유료,무학봉체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU03&type=&part=02&place=7,,
[서울 중구] 충무스포츠센터 대체육관(배구),배구장,접수중,유료,충무스포츠센터 배구장 중구,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=08&place=4,,
[서울 중구] 충무스포츠센터 대체육관(배드민턴),배드민턴장,접수중,유료,충무스포츠센터 배드민턴장(중구),중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=08&place=4,,
훈련원공원종합체육관 종합체육관 지하2층 (배드민턴),배드민턴장,접수중,유료,훈련원공원종합체육관 종합체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=T&base_date=20260601&center=JUNGGU05&type=&part=03&place=2,,
무학봉체육관(배드민턴장),배드민턴장,접수중,유료,무학봉체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU03&type=&part=02&place=7,,
[서울 중구] 충무스포츠센터 대체육관(족구),족구장,접수중,유료,충무스포츠센터 족구장,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=08&place=4,,
손기정문화체육센터 축구장,축구장,접수중,유료,손기정문화체육센터 축구장,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260701&center=JUNGGU06&type=&part=08&place=7,,
손기정문화체육센터 테니스장,테니스장,접수중,유료,손기정문화체육센터 테니스장,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260701&center=JUNGGU06&type=&part=09&place=9,,
훈련원공원종합체육관 종합체육관(풋살장),풋살장,접수중,유료,훈련원공원종합체육관 종합체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=T&base_date=20260601&center=JUNGGU05&type=&part=03&place=2,,
충무스포츠센터 스크린 파크골프장,골프장,접수중,유료,충무스포츠센터,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260101&center=JUNGGU01&type=&part=11&place=14,,
훈련원공원 종합체육관 스크린 파크골프장,골프장,접수중,유료,훈련원공원 종합체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20251231&center=JUNGGU05&type=&part=05&place=3,,
[서울 중구] 충무스포츠센터 수영장,수영장,접수중,유료,충무스포츠센터 수영장,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=02&place=6,,
[서울 중구] 회현체육센터 수영장,수영장,접수중,유료,회현체육센터,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260201&center=JUNGGU02&type=&part=10&place=8,,
[서울 중구] 충무스포츠센터 소체육관,체육관,접수중,유료,충무스포츠센터 소체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=09&place=2,,
[서울 중구] 충무스포츠센터 다목적체육관1(요가실 등),체육관,접수중,유료,충무스포츠센터 다목적체육관1,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=10&place=3,,
[서울 중구] 충무센터 다목적체육관2(필라테스실 등),체육관,접수중,유료,충무스포츠센터 다목적체육관1,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=10&place=7,,
[서울 중구] 충무스포츠센터 다목적체육관3(댄스 등),체육관,접수중,유료,충무스포츠센터 다목적체육관1,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=10&place=8,,
다목적체육관,체육관,접수중,유료,무학봉체육관 다목적체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU03&type=&part=02&place=7,,
훈련원공원종합체육관 다목적체육관,체육관,접수중,유료,훈련원공원종합체육관 다목적체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=T&base_date=20260601&center=JUNGGU05&type=&part=02&place=1,,
훈련원공원종합체육관 다목적체육관 1층 (배드민턴),체육관,접수중,유료,훈련원공원종합체육관 다목적체육관,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=T&base_date=20260601&center=JUNGGU05&type=&part=02&place=1,,
손기정문화체육센터 생활체육1실(에어로빅 등),체육관,접수중,유료,손기정문화체육센터 생활체육1실(에어로빅 등),중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=T&base_date=20260701&center=JUNGGU06&type=&part=10&place=10,,
손기정문화체육센터 생활체육2실(요가 등),체육관,접수중,유료,손기정문화체육센터 생활체육2실(요가 등),중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=T&base_date=20260701&center=JUNGGU06&type=&part=11&place=11,,
[서울 중구] 회현체육센터 다목적실(요가실 등),체육관,접수중,유료,회현체육센터,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=T&base_date=20260201&center=JUNGGU02&type=&part=09&place=7,37.55604,126.98163
[서울 중구] 충무스포츠센터 대체육관(탁구),탁구장,접수중,유료,충무스포츠센터 탁구장,중구,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20260601&center=JUNGGU01&type=&part=08&place=4,,
